MagX;MagY;MagZ;AccX;AccY;AccZ;GyroR;GyroP;GyroY
-343;428;-36;-107;233;-530;-527;-513;0
-336;427;-21;-98;238;-531;-529;-513;0
-346;427;-18;-99;239;-530;-531;-514;0
-343;428;-17;-104;245;-524;-532;-514;0
-343;427;-15;-106;247;-519;-532;-516;0
-348;430;-19;-121;244;-514;-531;-517;0
-348;431;-20;-131;246;-511;-531;-516;0
-348;432;-19;-133;236;-507;-525;-517;0
-345;435;-25;-144;235;-508;-521;-517;0
-345;436;-32;-157;236;-511;-516;-518;0
-346;439;-35;-163;243;-514;-512;-518;0
-344;441;-31;-163;250;-516;-508;-521;0
-342;440;-26;-161;257;-520;-506;-523;0
-343;442;-19;-154;267;-524;-506;-525;0
-341;446;-17;-153;271;-524;-508;-528;0
-340;446;-14;-148;275;-520;-508;-530;0
-339;449;-7;-136;279;-517;-511;-532;0
-339;454;7;-118;285;-511;-515;-533;0
-332;454;12;-111;287;-505;-519;-534;0
-335;458;11;-110;287;-500;-519;-534;0
-332;459;6;-126;296;-497;-521;-534;0
-329;462;5;-138;292;-499;-525;-531;0
-330;463;2;-138;288;-503;-524;-528;0
-325;463;-3;-132;291;-507;-522;-526;0
-336;464;-4;-135;292;-510;-519;-526;0
-328;467;-4;-133;292;-512;-517;-524;0
-326;466;1;-132;296;-514;-516;-525;0
-329;467;2;-137;300;-518;-514;-523;0
-332;465;4;-131;303;-522;-515;-521;0
-332;467;10;-125;321;-524;-516;-520;0
-328;467;9;-132;326;-518;-520;-521;0
-325;471;3;-143;327;-513;-524;-523;0
-331;470;-1;-149;330;-508;-526;-524;0
-326;474;-3;-149;339;-505;-528;-525;0
-332;474;0;-145;337;-505;-529;-526;0
-327;475;2;-140;341;-505;-529;-527;0
-326;476;6;-139;351;-505;-529;-526;0
-324;476;6;-141;353;-508;-529;-527;0
-327;476;3;-141;352;-512;-529;-526;0
-323;477;0;-138;352;-514;-528;-526;0
-322;476;-3;-142;351;-516;-527;-527;0
-325;477;-3;-145;350;-517;-527;-527;0
-322;477;3;-140;348;-519;-526;-528;0
-335;477;3;-139;343;-522;-527;-530;0
-328;479;0;-142;337;-520;-526;-531;0
-334;478;-4;-136;324;-521;-525;-531;0
-330;479;-1;-139;328;-523;-526;-529;0
-331;478;2;-144;335;-521;-528;-528;0
-331;477;5;-145;340;-518;-529;-527;0
-330;481;3;-144;341;-517;-529;-527;0
-331;479;2;-148;340;-517;-530;-527;0
-327;479;-1;-151;336;-518;-528;-528;0
-330;481;-5;-155;325;-520;-527;-529;0
-329;478;-4;-154;321;-522;-525;-529;0
-329;479;-2;-146;320;-526;-524;-529;0
-331;479;5;-129;322;-529;-523;-529;0
-336;480;6;-125;324;-529;-524;-529;0
-342;479;8;-121;328;-527;-525;-530;0
-342;479;6;-127;328;-525;-526;-531;0
-341;478;3;-133;327;-525;-526;-532;0
-344;479;4;-134;328;-524;-527;-532;0
-340;478;4;-138;321;-523;-529;-532;0
-340;479;1;-141;314;-519;-530;-532;0
-344;480;-2;-144;310;-517;-530;-532;0
-339;479;-3;-147;309;-516;-531;-531;0
-339;478;-4;-136;307;-516;-531;-531;0
