latitude(deg);longitude(deg);height(m);Q;ns;sdn(m);sde(m);sdu(m);sdne(m);sdeu(m);sdun(m);age(s);ratio
40019937190;-105253877750;15914032;1;15;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0029;0.79;5.4
40019936905;-105253877428;15914032;1;15;0.0063;0.0054;0.0112;0.0017;-0.0013;0.0028;0.99;5.6
40019936494;-105253876885;15914004;1;15;0.0062;0.0053;0.0110;0.0016;-0.0014;0.0028;0.19;5.9
40019935960;-105253876234;15913913;1;15;0.0062;0.0053;0.0110;0.0016;-0.0014;0.0027;0.39;6.1
40019935270;-105253875403;15913946;1;15;0.0062;0.0054;0.0111;0.0016;-0.0015;0.0027;0.59;6.3
40019934415;-105253874392;15913829;1;15;0.0062;0.0054;0.0111;0.0016;-0.0015;0.0027;0.79;6.6
40019933471;-105253873096;15913723;1;15;0.0063;0.0054;0.0112;0.0016;-0.0015;0.0027;0.99;6.8
40019932323;-105253871649;15913686;1;15;0.0062;0.0053;0.0110;0.0016;-0.0015;0.0027;0.19;7.0
40019930964;-105253870198;15913561;1;14;0.0063;0.0054;0.0111;0.0018;-0.0013;0.0029;0.39;7.3
40019929473;-105253868494;15913382;1;14;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0029;0.59;7.5
40019927507;-105253866254;15913262;1;14;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0029;0.79;7.8
40019924634;-105253863145;15913243;1;14;0.0064;0.0054;0.0112;0.0018;-0.0012;0.0029;0.99;8.0
40019920929;-105253859251;15913219;1;14;0.0063;0.0054;0.0111;0.0018;-0.0013;0.0029;0.19;8.2
40019916514;-105253854805;15913214;1;14;0.0063;0.0054;0.0111;0.0018;-0.0013;0.0029;0.39;8.4
40019911329;-105253849862;15913175;1;14;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0029;0.59;8.7
40019905206;-105253844254;15913368;1;14;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0029;0.79;8.9
40019898243;-105253838195;15913469;1;14;0.0064;0.0054;0.0112;0.0018;-0.0012;0.0029;0.99;9.1
40019890402;-105253831881;15913631;1;14;0.0064;0.0055;0.0113;0.0018;-0.0012;0.0029;1.19;9.3
40019881613;-105253825474;15913655;1;14;0.0064;0.0055;0.0114;0.0018;-0.0011;0.0029;1.39;9.5
40019871881;-105253818794;15913816;1;14;0.0065;0.0056;0.0115;0.0018;-0.0011;0.0029;1.59;9.8
40019861329;-105253811885;15914284;1;14;0.0065;0.0056;0.0116;0.0019;-0.0011;0.0029;1.79;9.9
40019849702;-105253805630;15914385;1;14;0.0064;0.0054;0.0113;0.0018;-0.0012;0.0029;0.99;10.1
40019837359;-105253799476;15914548;1;14;0.0064;0.0055;0.0113;0.0018;-0.0012;0.0029;1.19;10.3
40019824469;-105253793871;15914489;1;15;0.0063;0.0054;0.0111;0.0018;-0.0012;0.0029;0.39;10.5
40019810712;-105253788865;15914384;1;15;0.0063;0.0054;0.0111;0.0017;-0.0013;0.0028;0.59;10.7
40019796384;-105253784406;15914468;1;15;0.0063;0.0054;0.0111;0.0016;-0.0014;0.0028;0.79;10.9
40019781370;-105253780473;15914567;1;15;0.0063;0.0054;0.0112;0.0016;-0.0014;0.0027;0.99;11.1
40019765801;-105253777096;15914632;1;15;0.0062;0.0053;0.0110;0.0016;-0.0015;0.0027;0.19;11.3
40019749538;-105253774259;15914636;1;16;0.0062;0.0053;0.0110;0.0016;-0.0015;0.0027;0.39;11.6
40019732794;-105253771825;15914656;1;16;0.0059;0.0053;0.0109;0.0013;-0.0017;0.0021;0.59;11.8
40019715408;-105253769881;15914674;1;16;0.0057;0.0053;0.0108;0.0010;-0.0019;0.0013;0.79;12.0
40019697594;-105253768390;15914561;1;16;0.0057;0.0054;0.0108;0.0009;-0.0019;-0.0003;0.99;12.3
40019679217;-105253767271;15914447;1;16;0.0056;0.0053;0.0105;0.0009;-0.0020;-0.0009;0.19;12.5
40019660266;-105253766501;15914400;1;16;0.0056;0.0053;0.0105;0.0009;-0.0020;-0.0011;0.39;12.8
40019640802;-105253765915;15914304;1;16;0.0056;0.0053;0.0105;0.0008;-0.0020;-0.0013;0.59;13.0
40019620856;-105253765523;15914216;1;16;0.0056;0.0053;0.0105;0.0008;-0.0020;-0.0014;0.79;13.3
40019600551;-105253765445;15914135;1;16;0.0056;0.0054;0.0106;0.0008;-0.0021;-0.0015;0.99;13.5
40019579864;-105253765406;15913972;1;16;0.0056;0.0054;0.0106;0.0007;-0.0021;-0.0016;1.19;13.8
40019558929;-105253765290;15913942;1;16;0.0056;0.0054;0.0107;0.0007;-0.0021;-0.0017;1.39;14.0
40019537657;-105253765378;15913974;1;16;0.0056;0.0055;0.0108;0.0007;-0.0021;-0.0017;1.59;14.3
40019516131;-105253765424;15913928;1;16;0.0055;0.0053;0.0106;0.0007;-0.0021;-0.0016;0.79;14.5
40019494366;-105253765537;15913841;1;16;0.0055;0.0054;0.0106;0.0007;-0.0021;-0.0017;0.99;14.8
40019472425;-105253765633;15913754;1;16;0.0061;0.0053;0.0109;0.0015;-0.0015;0.0025;0.19;15.1
40019450236;-105253765664;15913638;1;16;0.0059;0.0053;0.0109;0.0012;-0.0017;0.0021;0.39;15.3
40019427830;-105253765820;15913463;1;16;0.0057;0.0053;0.0108;0.0010;-0.0019;0.0012;0.59;15.6
40019405254;-105253766072;15913278;1;16;0.0056;0.0053;0.0107;0.0009;-0.0020;-0.0003;0.79;15.8
40019382607;-105253766477;15913164;1;16;0.0056;0.0054;0.0107;0.0008;-0.0020;-0.0010;0.99;16.1
40019359909;-105253766889;15912993;1;16;0.0055;0.0053;0.0105;0.0008;-0.0020;-0.0012;0.19;16.3
40019337106;-105253767413;15912769;1;16;0.0055;0.0053;0.0105;0.0008;-0.0020;-0.0013;0.39;16.6
40019314191;-105253768109;15912660;1;16;0.0055;0.0053;0.0105;0.0008;-0.0021;-0.0014;0.59;16.8
40019291234;-105253768817;15912497;1;16;0.0055;0.0053;0.0105;0.0007;-0.0021;-0.0015;0.79;17.1
40019268225;-105253769711;15912385;1;16;0.0055;0.0054;0.0106;0.0007;-0.0021;-0.0016;0.99;17.3
40019245207;-105253770646;15912242;1;16;0.0056;0.0054;0.0106;0.0007;-0.0021;-0.0016;1.19;17.5
40019222199;-105253771620;15912076;1;16;0.0055;0.0053;0.0105;0.0007;-0.0021;-0.0016;0.39;17.8
40019199058;-105253772621;15911936;1;16;0.0055;0.0053;0.0104;0.0007;-0.0021;-0.0016;0.59;18.1
40019175953;-105253773568;15911846;1;16;0.0055;0.0053;0.0105;0.0007;-0.0021;-0.0017;0.79;18.3
40019152839;-105253774599;15911740;1;16;0.0055;0.0053;0.0105;0.0005;-0.0021;-0.0020;0.99;3.5
40019129755;-105253775526;15911697;1;16;0.0055;0.0053;0.0103;0.0009;-0.0021;-0.0018;0.19;3.6
40019106674;-105253776432;15911814;1;16;0.0054;0.0053;0.0103;0.0008;-0.0021;-0.0019;0.39;3.8
40019083774;-105253777372;15911915;1;16;0.0054;0.0053;0.0104;0.0007;-0.0021;-0.0019;0.59;4.0
40019060993;-105253778323;15911987;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.79;4.2
40019038345;-105253779277;15912075;1;16;0.0055;0.0054;0.0105;0.0006;-0.0021;-0.0020;0.99;4.3
40019015857;-105253780212;15912158;1;16;0.0055;0.0053;0.0103;0.0009;-0.0021;-0.0018;0.19;4.5
40018993489;-105253781034;15912310;1;16;0.0054;0.0053;0.0103;0.0008;-0.0021;-0.0019;0.39;4.7
40018971294;-105253781929;15912406;1;16;0.0054;0.0053;0.0104;0.0007;-0.0021;-0.0019;0.59;4.9
40018949174;-105253782721;15912505;1;16;0.0054;0.0053;0.0104;0.0006;-0.0021;-0.0019;0.79;5.1
40018927209;-105253783510;15912552;1;16;0.0055;0.0054;0.0105;0.0006;-0.0021;-0.0020;0.99;5.2
40018905417;-105253784293;15912612;1;16;0.0055;0.0054;0.0105;0.0006;-0.0021;-0.0020;1.19;5.4
40018883713;-105253785033;15912703;1;16;0.0055;0.0054;0.0106;0.0006;-0.0021;-0.0020;1.39;5.6
