col1,col2
18:27.8,1841
18:27.8,1861
18:27.8,1886
18:27.8,1918
18:27.8,1963
18:27.8,1978
18:27.8,1994
18:27.8,2006
18:27.8,1989
18:27.8,2004
18:27.8,2031
18:27.8,2032
18:27.8,2006
18:27.8,1972
18:27.8,1953
18:27.8,1967
18:27.8,1965
18:27.8,1968
18:27.8,1979
18:27.8,1955
18:27.8,1952
18:27.8,1961
18:27.8,1967
18:27.8,1978
18:27.8,1977
18:27.8,1976
18:27.8,1974
18:27.8,1985
18:27.8,1991
18:27.8,1998
18:27.8,1991
18:27.8,2000
18:27.8,1991
18:27.8,1977
18:27.8,1982
18:27.8,1950
18:27.8,1955
18:27.9,1969
18:27.9,1966
18:27.9,1969
18:27.9,1882
18:27.9,1881
18:27.9,1880
18:27.9,1876
18:27.9,1925
18:27.9,1933
18:27.9,1902
18:27.9,1866
18:27.9,1879
18:27.9,1938
18:27.9,1958
18:27.9,1925
18:27.9,1925
18:27.9,1948
18:27.9,1919
18:27.9,1923
18:27.9,1912
18:27.9,1907
18:27.9,1920
18:27.9,1980
18:27.9,1954
18:27.9,1952
18:27.9,1986
18:27.9,1988
18:27.9,1965
18:27.9,1952
18:27.9,1942
18:27.9,1942
18:27.9,1952
18:27.9,1960
18:27.9,1969
18:27.9,1972
18:27.9,1971
18:27.9,1953
18:27.9,1941
18:27.9,1928
18:27.9,1941
18:27.9,1944
18:27.9,1940
18:27.9,1933
18:27.9,1935
18:27.9,1935
18:27.9,1917
18:27.9,1922
18:27.9,1926
18:27.9,1928
18:27.9,1942
18:27.9,1972
18:28.0,2011
18:28.0,2017
18:28.0,1975
18:28.0,1962
18:28.0,1972
18:28.0,1965
18:28.0,1963
18:28.0,1938
18:28.0,1902
18:28.0,1842
18:28.0,1783
18:28.0,1795
18:28.0,1838
18:28.0,1844
18:28.0,1834
18:28.0,1882
18:28.0,1898
18:28.0,1884
18:28.0,1890
18:28.0,1925
18:28.0,1943
18:28.0,1948
18:28.0,1927
18:28.0,1925
18:28.0,1919
18:28.0,1912
18:28.0,1895
18:28.0,1859
18:28.0,1849
18:28.0,1850
18:28.0,1859
18:28.0,1846
18:28.0,1837
18:28.0,1799
18:28.0,1820
18:28.0,1856
18:28.0,1911
18:28.0,1949
18:28.0,1991
18:28.0,2032
18:28.0,2055
18:28.0,1986
18:28.0,1929
18:28.0,1916
18:28.0,1941
18:28.0,1945
18:28.0,1943
18:28.0,1916
18:28.0,1898
18:28.0,1902
18:28.0,1927
18:28.1,1935
18:28.1,1932
18:28.1,1937
18:28.1,1939
18:28.1,1941
18:28.1,1939
18:28.1,1932
18:28.1,1903
18:28.1,1879
18:28.1,1883
18:28.1,1981
18:28.1,2031
18:28.1,2006
18:28.1,1924
18:28.1,1884
18:28.1,1870
18:28.1,1868
18:28.1,1905
18:28.1,1915
18:28.1,1962
18:28.1,1973
18:28.1,1942
18:28.1,1880
18:28.1,1879
18:28.1,1909
18:28.1,1897
18:28.1,1892
18:28.1,1922
18:28.1,1936
18:28.1,1910
18:28.1,1895
18:28.1,1899
18:28.1,1903
18:28.1,1899
18:28.1,1888
18:28.1,1886
18:28.1,1883
